Date/Time,OVERHANG:Surface Outside Face Sunlit Area [m2](Hourly),OVERHANG:Surface Outside Face Sunlit Fraction [](Hourly),OVERHANG:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),Mir-OVERHANG:Surface Outside Face Sunlit Area [m2](Hourly),Mir-OVERHANG:Surface Outside Face Sunlit Fraction [](Hourly),Mir-OVERHANG:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALL_S:Surface Outside Face Sunlit Area [m2](Hourly),WALL_S:Surface Outside Face Sunlit Fraction [](Hourly),WALL_S:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALL_N:Surface Outside Face Sunlit Area [m2](Hourly),WALL_N:Surface Outside Face Sunlit Fraction [](Hourly),WALL_N:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALL_W:Surface Outside Face Sunlit Area [m2](Hourly),WALL_W:Surface Outside Face Sunlit Fraction [](Hourly),WALL_W:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALL_E:Surface Outside Face Sunlit Area [m2](Hourly),WALL_E:Surface Outside Face Sunlit Fraction [](Hourly),WALL_E:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ROOF:Surface Outside Face Sunlit Area [m2](Hourly),ROOF:Surface Outside Face Sunlit Fraction [](Hourly),ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WINDOW_S1:Surface Outside Face Sunlit Area [m2](Hourly),WINDOW_S1:Surface Outside Face Sunlit Fraction [](Hourly),WINDOW_S1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WINDOW_S1:Surface Window Transmitted Solar Radiation Rate [W](Hourly),WINDOW_S1:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),WINDOW_S1:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),WINDOW_S1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WINDOW_S1:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),WINDOW_S1:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),WINDOW_S2:Surface Outside Face Sunlit Area [m2](Hourly),WINDOW_S2:Surface Outside Face Sunlit Fraction [](Hourly),WINDOW_S2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WINDOW_S2:Surface Window Transmitted Solar Radiation Rate [W](Hourly),WINDOW_S2:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),WINDOW_S2:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),WINDOW_S2:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WINDOW_S2:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),WINDOW_S2:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE1:Zone Mean Air Temperature [C](Hourly),ZONE1:Zone Air System Sensible Heating Energy [J](Hourly),ZONE1:Zone Air System Sensible Cooling Energy [J](Hourly) 
 01/01  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0548926479949,0.0,0.0 
 01/01  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.75064195734634,0.0,0.0 
 01/01  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.267572079630925,0.0,0.0 
 01/01  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000019785185935,254691.9766746796,0.0 
 01/01  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000037,728944.014486296,0.0 
 01/01  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1132409.8161233206,0.0 
 01/01  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1217438.7932343656,0.0 
 01/01  08:00:00,6.0,0.75,21.28967788716912,0.0,0.0,0.0,6.686821809237501,0.6965439384622396,22.538969264638405,0.0,0.0,10.47787655404598,0.0,0.0,10.47787655404598,12.150000000000003,0.75,34.96870340881286,36.0,0.75,21.28967788716912,4.5,0.75,26.123403388206904,101.85715562911897,29.431577222826513,72.42557840629246,366685.7602648283,105953.67800217544,260732.08226265288,4.5,0.75,26.123403377540073,101.85715558792366,29.431577222826513,72.42557836509715,366685.76011652519,105953.67800217544,260732.08211434974,20.0,1316008.0950411356,0.0 
 01/01  09:00:00,8.0,1.0,96.95523105932236,0.0,0.0,0.0,7.494400133800001,0.7806666806041667,85.44519943986485,0.0,0.0,44.793975807424249,0.0,0.0,44.793975807424249,16.200000000000004,1.0,121.41203021419807,48.0,1.0,96.95523105932236,6.0,1.0,107.925120338973,428.77009260707339,150.75308141246576,278.0170111946076,1543572.3333854643,542711.0930848767,1000861.2403005875,6.0,1.0,107.92512029477789,428.7700924363917,150.75308141246576,278.017011023926,1543572.3327710103,542711.0930848767,1000861.2396861335,20.0,1054048.419616706,0.0 
 01/01  10:00:00,8.0,1.0,160.78952649948583,0.0,0.0,0.0,6.470635641000002,0.6740245459375,156.90123332641296,0.0,0.0,61.965361361569247,0.0,0.0,61.965361361569247,16.200000000000004,1.0,170.09457502782943,48.0,1.0,160.78952649948583,6.0,1.0,224.7239748828171,931.5843767460967,543.9586151595722,387.6257615865245,3353703.7562859479,1958251.0145744598,1395452.7417114883,6.0,1.0,224.72397483286916,931.5843765531977,543.9586151595722,387.6257613936255,3353703.7555915119,1958251.0145744598,1395452.7410170518,20.02848063977644,541406.4448964497,0.0 
